Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,22µ,
"C12, C34, C35, C36, C5, C6",0402,6,0.1µ,
C2,0402,1,1µ,
"C3, C4",0402,2,22pF,
C37,CP_EIA-3528-15_AVX-H,1,33µF,
C38,0603,1,0.47µF,
D1,LED-APA102-2020,1,APA102-2020,
"H1_113, H1_112, H1_111, H1_110, H1_109, H1_108, H1_107, H1_106, H1_105, H1_104, H1_103, H1_102, H1_101, H1_100, H1_99, H1_98, H1_97, H1_96, H1_95, H1_94, H1_93, H1_92, H1_91, H1_90, H1_89, H1_88, H1_87, H1_86, H1_85, H1_84, H1_83, H1_82, H1_81, H1_80, H1_79, H1_78, H1_77, H1_76, H1_75, H1_74, H1_73, H1_72, H1_71, H1_70, H1_69, H1_68, H1_67, H1_66, H1_65, H1_64, H1_63, H1_62, H1_61, H1_60, H1_59, H1_58, H1_57, H1_56, H1_55, H1_54, H1_53, H1_52, H1_51, H1_50, H1_49, H1_48, H1_47, H1_46, H1_45, H1_44, H1_43, H1_42, H1_41, H1_40, H1_39, H1_38, H1_37, H1_36, H1_35, H1_34, H1_33, H1_32, H1_31, H1_30, H1_29, H1_28, H1_27, H1_26, H1_25, H1_24, H1_23, H1_22, H1_21, H1_20, H1_19, H1_18, H1_17, H1_16, H1_15, H1_14, H1_13, H1_12, H1_11, H1_10, H1_9, H1_8, H1_7, H1_6, H1_5, H1_4, H1_3, H1_2, H1",MountingHole_M2_own,113,MountingHole_Pad,
"H12, H13, H14, H15, H16, H17, H18, H19, H20, H21, H22, H23, H24, H25, H26, H27, H28, H29, H30, H31, H32, H33, H34, H35, H36, H37, H38, H39, H40, H41, H42, H43, H44, H45, H46, H47, H48, H49, H50, H51, H52, H53, H54, H55, H56, H57, H58, H59",mill_max - 0670 RECEPTACLE WITH NO TAIL,48,MountingHole_Pad,
"H60_4, H60_3, H60_2, H60",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
IC1,TQFP-48_7x7mm_P0.5mm,1,ADG731BSUZ,
IC2,TSSOP-14_4.4x5mm_P0.65mm,1,TXU0304PWR,
IC3,SOT-223,1,LM3940IMP-3.3_NOPB,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,0022232041,0022232041
"J10, J9",SAMTEC-SLW-108-01-X-S,2,SAMTEC-SLW-108-01-X-S,
J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
"J5, J6, J7, J8",SAMTEC_SLW-104-01-G-S,4,SLW-104-01-G-S,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Bridged,
R1,0402,1,100,
"R2, R3",0402,2,10K,
SW1,SW_SPST_B3U-1000P,1,SW_Boot,
SW2,SW_SPST_B3U-1000P,1,SW_Reset,
"U1, U2",SOT-23-5,2,SN74LV1T34DBV,
U34,ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-n16r8,
U35,OnSemi_CASE100CY,1,QRE1113GR,
