Designator,Mid X,Mid Y,Rotation,Layer
C1,237.573,-255.6121,270.0,top
C12,217.8372,-228.3528,180.0,top
C2,236.176,-252.5641,90.0,top
C3,239.5954,-242.3808,270.0,top
C34,192.683,-248.141,90.0,top
C35,212.239,-228.356,180.0,top
C36,236.371,-255.6121,270.0,top
C37,251.992,-208.045,90.0,top
C38,251.992,-212.871,90.0,top
C4,239.605,-239.6656,90.0,top
C5,230.461,-231.082,90.0,top
C6,224.746,-231.096,90.0,top
D1,225.0,-225.0,270.0,top
H12,43.56,-227.939,90.0,top
H13,46.1,-227.939,90.0,top
H14,50.56,-227.939,90.0,top
H15,53.1,-227.939,90.0,top
H16,57.56,-227.939,90.0,top
H17,60.1,-227.939,90.0,top
H18,64.56,-227.939,90.0,top
H19,67.1,-227.939,90.0,top
H20,71.56,-227.939,90.0,top
H21,74.1,-227.939,90.0,top
H22,78.56,-227.939,90.0,top
H23,81.1,-227.939,90.0,top
H24,85.56,-227.939,90.0,top
H25,88.1,-227.939,90.0,top
H26,92.56,-227.939,90.0,top
H27,95.1,-227.939,90.0,top
H28,99.56,-227.939,90.0,top
H29,102.1,-227.939,90.0,top
H30,106.56,-227.939,90.0,top
H31,109.1,-227.939,90.0,top
H32,113.56,-227.939,90.0,top
H33,116.1,-227.939,90.0,top
H34,120.56,-227.939,90.0,top
H35,123.1,-227.939,90.0,top
H36,127.56,-227.939,90.0,top
H37,130.1,-227.939,90.0,top
H38,134.56,-227.939,90.0,top
H39,137.1,-227.939,90.0,top
H40,141.56,-227.939,90.0,top
H41,144.1,-227.939,90.0,top
H42,148.56,-227.939,90.0,top
H43,151.1,-227.939,90.0,top
H44,155.56,-227.939,90.0,top
H45,158.1,-227.939,90.0,top
H46,162.56,-227.939,90.0,top
H47,165.1,-227.939,90.0,top
H48,169.56,-227.939,90.0,top
H49,172.1,-227.939,90.0,top
H50,176.56,-227.939,90.0,top
H51,179.1,-227.939,90.0,top
H52,183.56,-227.939,90.0,top
H53,186.1,-227.939,90.0,top
H54,190.56,-227.939,90.0,top
H55,193.1,-227.939,90.0,top
H56,197.56,-227.939,90.0,top
H57,200.1,-227.939,90.0,top
H58,204.56,-227.939,90.0,top
H59,207.1,-227.939,90.0,top
IC1,196.661952,-243.098,0.0,top
IC2,215.392,-224.952,180.0,top
IC3,244.118,-211.855,180.0,top
J1,253.688,-237.215,0.0,top
J10,213.57,-193.411,270.0,top
J11,260.0,-212.0,90.0,bottom
J5,243.61,-221.0,180.0,top
J6,403.63,-221.0,180.0,top
J7,243.61,-229.0,180.0,top
J8,403.63,-229.0,180.0,top
J9,236.43,-193.411,270.0,top
R1,309.074,-232.62,90.0,bottom
R2,307.221998,-232.634998,270.0,bottom
R3,237.573,-253.64545,90.0,top
SW1,205.95,-254.845,0.0,top
SW2,242.78,-254.845,180.0,top
U1,233.382,-230.842,90.0,top
U2,227.54,-230.842,90.0,top
U34,224.313,-251.61,180.0,top
U35,308.058,-225.0,0.0,bottom
